,all_acc,300pt_acc,300pt450_acc,450pt650_acc,650pt_acc,all_xs,300pt_xs,300pt450_xs,450pt650_xs,650pt_xs
hw_pdf4lhc_unc_39,1.0,0.012947403505883656,0.010896846405315075,0.0017531237465791126,0.0002974333539894688,4075.0,52.760669286475895,44.40464910165893,7.143979267309884,1.2120409175070854
hw_pdf4lhc_unc_40,1.0,0.012879585952237732,0.010843299178745233,0.0017415454920799605,0.0002947412814125385,4075.0,52.484312755368755,44.18644415338682,7.096797880225839,1.2010707217560945
hw_qcd_0,1.0,0.012692892332805883,0.010720503844430277,0.0016931709748637625,0.0002792175135118424,4075.0,51.72353625618397,43.68605316605338,6.899671722569832,1.1378113675607577
hw_qcd_1,1.0,0.012749847945156781,0.010745779615373978,0.0017152461006106376,0.0002888222291721658,4075.0,51.95563037651388,43.78905193264896,6.989627859988348,1.1769505838765755
hw_qcd_2,1.0,0.01281434007858201,0.010785237275010205,0.0017338008973289132,0.000295301906242891,4075.0,52.218435820221686,43.94984189566659,7.065238656615321,1.2033552679397808
hw_qcd_3,1.0,0.01296604559274075,0.010926077209101413,0.0017472854527052222,0.00029268293093411425,4075.0,52.836635790418555,44.523764627088255,7.12018821977378,1.1926829435565156
hw_qcd_4,1.0,0.012857600783216112,0.010815348392364988,0.0017444578841397968,0.00029779450671132794,4075.0,52.39472319160566,44.07254469888733,7.108665877869672,1.2135126148486615
hw_qcd_5,1.0,0.013183590415729302,0.011089800090314439,0.0017903832225696931,0.0003034071028451716,4075.0,53.72313094409691,45.19093536803134,7.2958116319715,1.2363839440940743
hw_qcd_6,1.0,0.013012947776463236,0.010942316838396651,0.001768890507321463,0.0003017404307451224,4075.0,53.02776218908769,44.589941116466356,7.208228817334962,1.2295922552863738
hw_qcd_7,1.0,0.012892344066454993,0.01083953097172634,0.00175301673081124,0.0002997963639174135,4075.0,52.5363020708041,44.17108870978483,7.143543178055802,1.2216701829634602
