,ALL,UNKNOWN,QQ2HLL_FWDH,QQ2HLL_PTV_0_75_0J,QQ2HLL_PTV_75_150_0J,QQ2HLL_PTV_150_250_0J,QQ2HLL_PTV_250_400_0J,QQ2HLL_PTV_GT400_0J,QQ2HLL_PTV_0_75_1J,QQ2HLL_PTV_75_150_1J,QQ2HLL_PTV_150_250_1J,QQ2HLL_PTV_250_400_1J,QQ2HLL_PTV_GT400_1J,QQ2HLL_PTV_0_75_GE2J,QQ2HLL_PTV_75_150_GE2J,QQ2HLL_PTV_150_250_GE2J,QQ2HLL_PTV_250_400_GE2J,QQ2HLL_PTV_GT400_GE2J,QQ2HQQ_FWDH,QQ2HQQ_0J,QQ2HQQ_1J,QQ2HQQ_GE2J_MJJ_0_60_PTHJJ_0_25,QQ2HQQ_GE2J_MJJ_60_120_PTHJJ_0_25,QQ2HQQ_GE2J_MJJ_120_350_PTHJJ_0_25,QQ2HQQ_GE2J_MJJ_0_60_PTHJJ_GT25,QQ2HQQ_GE2J_MJJ_60_120_PTHJJ_GT25,QQ2HQQ_GE2J_MJJ_120_350_PTHJJ_GT25,QQ2HQQ_GE2J_MJJ_350_700_PTH_0_200_PTHJJ_0_25,QQ2HQQ_GE2J_MJJ_350_700_PTH_0_200_PTHJJ_GT25,QQ2HQQ_GE2J_MJJ_700_1000_PTH_0_200_PTHJJ_0_25,QQ2HQQ_GE2J_MJJ_700_1000_PTH_0_200_PTHJJ_GT25,QQ2HQQ_GE2J_MJJ_1000_1500_PTH_0_200_PTHJJ_0_25,QQ2HQQ_GE2J_MJJ_1000_1500_PTH_0_200_PTHJJ_GT25,QQ2HQQ_GE2J_MJJ_GT1500_PTH_0_200_PTHJJ_0_25,QQ2HQQ_GE2J_MJJ_GT1500_PTH_0_200_PTHJJ_GT25,QQ2HQQ_GE2J_MJJ_350_700_PTH_GT200_PTHJJ_0_25,QQ2HQQ_GE2J_MJJ_350_700_PTH_GT200_PTHJJ_GT25,QQ2HQQ_GE2J_MJJ_700_1000_PTH_GT200_PTHJJ_0_25,QQ2HQQ_GE2J_MJJ_700_1000_PTH_GT200_PTHJJ_GT25,QQ2HQQ_GE2J_MJJ_1000_1500_PTH_GT200_PTHJJ_0_25,QQ2HQQ_GE2J_MJJ_1000_1500_PTH_GT200_PTHJJ_GT25,QQ2HQQ_GE2J_MJJ_GT1500_PTH_GT200_PTHJJ_0_25,QQ2HQQ_GE2J_MJJ_GT1500_PTH_GT200_PTHJJ_GT25
hw_pdf4lhc_unc_7,0.0010861123515323932,1.912451443201675e-06,0.0002998942737725577,0.00023718506311163346,0.00016808248185162857,0.0001589084978375764,5.154517556384483e-05,1.7182241237254693e-05,0.00011018145685348906,9.753522697393248e-05,5.736044675799623e-05,3.0073127375960133e-05,1.5345019864050115e-05,7.33952759821263e-05,7.126278416158457e-05,4.65173761282243e-05,2.6442582998294184e-05,1.3287096230320716e-05,0.0002707638959488462,0.0002898279049352672,0.00034121090581780585,5.7421180992451405e-05,0.0007464669069245377,0.0001004964372714253,8.758816073207437e-05,0.0002007381252339498,0.0001815667998276625,3.5552998603355356e-05,8.075347785630858e-05,1.2417896662162273e-05,3.162463625867371e-05,7.4866146429078245e-06,2.095981288238177e-05,4.179809029282687e-06,1.2652838829698095e-05,1.5040019174247447e-05,3.999943407091016e-05,6.64160099748112e-06,1.9368492752889962e-05,4.219131246134397e-06,1.2975543377285497e-05,2.421357496575131e-06,8.227613215068099e-06
hw_pdf4lhc_unc_8,0.0010906192029953004,1.9148535436962384e-06,0.0003382663738904226,0.000232712698323455,0.0001725796058772419,0.0001568294994098121,5.1407907118731026e-05,1.727856022487615e-05,0.00011003267819450832,9.748467178277796e-05,5.74348123637191e-05,3.018114784359733e-05,1.5436813912233678e-05,7.339807598236468e-05,7.13088587476928e-05,4.666313431860312e-05,2.6577091338879212e-05,1.343403533056832e-05,0.00026722540673367127,0.0002866881821515246,0.00034391024135098646,5.742730658335316e-05,0.000738651933888342,0.00010050346940519281,8.724005144479693e-05,0.00020069163054275987,0.00018155409241060494,3.563532387744531e-05,8.099365630534431e-05,1.2495212170904857e-05,3.181116645594016e-05,7.545507942739838e-06,2.1030945415146452e-05,4.204450626601973e-06,1.2749084877303288e-05,1.5130957624613981e-05,4.0259463656905616e-05,6.723173592345144e-06,1.956681247336868e-05,4.286472342334775e-06,1.3166575743486548e-05,2.4801751912889033e-06,8.339976592700869e-06
hw_pdf4lhc_unc_9,0.0010910468107819386,1.956922266762763e-06,0.0003219246204196596,0.00023273792107855412,0.00017247502290264701,0.0001581583731119808,5.1494882023092684e-05,1.7272572034042584e-05,0.00011005878646611793,9.750202828670574e-05,5.7382664294465295e-05,3.009834174939919e-05,1.5366386882201726e-05,7.339229545036817e-05,7.131494046132365e-05,4.659688319222367e-05,2.650637409173336e-05,1.334073090395578e-05,0.00027066743070893547,0.0002892214561466594,0.000342113109998469,5.7329796569628204e-05,0.0007449306812497724,0.00010045511407300043,8.748002092984497e-05,0.00020058343177544412,0.00018155531633239303,3.559660580469244e-05,8.086786536658291e-05,1.2452076631346155e-05,3.1739010196098796e-05,7.541862460442247e-06,2.1015947982588876e-05,5.060102965171941e-06,1.2777265941027405e-05,1.5079673895832116e-05,4.0159874595865456e-05,6.6599020953810836e-06,1.9516900115058997e-05,4.239913389680193e-06,1.3106926438016112e-05,2.4956507148058327e-06,8.300271881033707e-06
hw_pdf4lhc_unc_10,0.0010915697752379913,1.909222154987981e-06,0.0003180595359381089,0.00023325635121470783,0.0001717938123593065,0.00015775743827478302,5.14500981480665e-05,1.7221374060959372e-05,0.00011005203541979945,9.744162677212155e-05,5.736000497084214e-05,3.0094218220862137e-05,1.5391849644577858e-05,7.334848254510777e-05,7.121525297746759e-05,4.652885219484089e-05,2.646085868176898e-05,1.3350381717357629e-05,0.0002687671767519261,0.00028986526342805817,0.0003429605341948464,5.739744333272559e-05,0.0007475694639764394,0.00010044145853241211,8.746020745544831e-05,0.00020063469928216276,0.00018140683077532248,3.5542211940479435e-05,8.076559756827416e-05,1.2433421752150926e-05,3.168903250100378e-05,7.510974623003125e-06,2.0950023900574195e-05,4.199686578882227e-06,1.270376669955754e-05,1.5058844682198609e-05,4.005822798768665e-05,6.679018782084231e-06,1.94377139559986e-05,4.251720179355335e-06,1.3087209680912275e-05,2.4574137286096467e-06,8.302634808389844e-06
hw_pdf4lhc_unc_11,0.001087983699367905,1.916723795455751e-06,0.00031818650758569616,0.0002332890684723741,0.0001717106936055524,0.00015698342345960676,5.15542045128818e-05,1.72634162426915e-05,0.00011027310803213968,9.766035590675639e-05,5.7480331585386886e-05,3.017335695288886e-05,1.5426730627302305e-05,7.355841147950808e-05,7.143863116170653e-05,4.6673609171191306e-05,2.654446709663582e-05,1.33787224868749e-05,0.00026849744708591676,0.0002890716205520157,0.0003410318700083022,5.738895791158649e-05,0.0007433151976215044,0.00010066086085670659,8.751111698618532e-05,0.00020090059670547426,0.00018192059933196353,3.5654646345947705e-05,8.102957926687497e-05,1.247022037952917e-05,3.177565818391978e-05,7.5266209174592626e-06,2.0996274734518088e-05,4.215267728956958e-06,1.2729580686804949e-05,1.5119355455601077e-05,4.0190129962108945e-05,6.697538163563211e-06,1.949833441448607e-05,4.26790769370667e-06,1.311051306048039e-05,2.486784242415615e-06,8.31111378292463e-06
hw_pdf4lhc_unc_12,0.0010969909900433099,1.912211233466962e-06,0.00033909798425145303,0.00023258474197430584,0.0001833965719819198,0.0001579494313915994,5.1471067087569884e-05,1.730082217278797e-05,0.0001101026996070876,9.752284039564894e-05,5.7451067163336005e-05,3.016523633140431e-05,1.5449797227762244e-05,7.346299343199984e-05,7.136217881307735e-05,4.6653482164630225e-05,2.6567391522960996e-05,1.3433988594404193e-05,0.0002702914978694937,0.0002886006596632403,0.00034254602924848135,5.733943728311237e-05,0.0007435605486310889,0.00010054465647563433,8.742565857418356e-05,0.00020069266874275546,0.00018170293867418198,3.5626236991860876e-05,8.097615237338375e-05,1.2490706175393298e-05,3.1757932764498034e-05,7.52169671799623e-06,2.101124381217205e-05,6.304814622107743e-06,1.2769330736337022e-05,1.5143319095041022e-05,4.021301395303376e-05,6.7318315355054426e-06,1.957089102903883e-05,4.291853829969722e-06,1.319685156722072e-05,2.5419141043961337e-06,8.335661993373622e-06
hw_pdf4lhc_unc_13,0.001083680101366738,1.9106788882460405e-06,0.00030682064115208576,0.00023290342919544266,0.00017211356168285127,0.00015677396462781317,5.158511145823716e-05,1.723524109558155e-05,0.00011013790667440636,9.753691984378682e-05,5.7420509676004515e-05,3.0126675327054446e-05,1.5403253473635942e-05,7.343287955236807e-05,7.13022898287942e-05,4.6587776301457504e-05,2.6480335387341113e-05,1.3344745473874357e-05,0.0002681202953936771,0.0002887920810336374,0.00034163260261742165,5.740068559949564e-05,0.0007420852937559042,0.0001005390328329623,8.745023303977836e-05,0.00020077558388148557,0.00018162720771389243,3.559198625803158e-05,8.086966218718127e-05,1.2437505938086154e-05,3.1713105706602244e-05,7.501957229679209e-06,2.0924502496944796e-05,4.200814924193363e-06,1.268730690130392e-05,1.5086807432954655e-05,4.0111268313543234e-05,6.676357052176588e-06,1.9433730414555118e-05,4.256287944692769e-06,1.3070066229468948e-05,2.470081189178838e-06,8.286737562462521e-06
hw_pdf4lhc_unc_14,0.0010973137437900594,1.9207665309327453e-06,0.00030453634443036086,0.00027378280428192657,0.0001715629353323988,0.00015830828554706488,5.152997825309617e-05,1.7288347352940547e-05,0.00011061735914302527,9.761770397447404e-05,5.738874570798716e-05,3.0085865607646027e-05,1.535904622941281e-05,7.341709837991319e-05,7.133505818389972e-05,4.653899805797604e-05,2.6829031187206094e-05,1.3306185210182836e-05,0.00027456789638530184,0.00028946373495212477,0.00034221196835244893,5.74027299394419e-05,0.0007458872989804499,0.00010050271875829216,8.757343469230217e-05,0.00020073722747915133,0.00018185586164281173,3.556913939966002e-05,8.081379003921375e-05,1.2430399267087028e-05,3.165899673663971e-05,7.51369390408328e-06,2.0908067288429776e-05,4.187096842681876e-06,1.2727690145149646e-05,1.5047790280006976e-05,4.003231373510325e-05,6.644133077794196e-06,1.9401022236771146e-05,4.219703633900868e-06,1.3048704148903845e-05,2.4359478706572968e-06,8.255543167572673e-06
hw_pdf4lhc_unc_15,0.0010901365415661912,1.9107716191122882e-06,0.0003133096477240995,0.00023337781612197927,0.00017204648492590894,0.00015707975954605918,5.150620331230318e-05,1.717544222654077e-05,0.00011002616419814088,9.739645804874906e-05,5.727333740839422e-05,3.0028447856549268e-05,1.5334848690926553e-05,7.328758292070691e-05,7.113278368947545e-05,4.6443695237679854e-05,2.637583121645067e-05,1.3279563217189483e-05,0.00027004185773689616,0.00029011700070425393,0.0003417960426801542,5.737487016406022e-05,0.0007476498138417316,0.00010036516454495997,8.755173214015791e-05,0.0002005366009856633,0.00018126205534626152,3.548207435299114e-05,8.059828228208053e-05,1.2395377589886381e-05,3.159824071271813e-05,7.478739930418441e-06,2.087508356456837e-05,4.224200419401743e-06,1.2662559345723793e-05,1.5033822685214643e-05,3.9938653284419395e-05,6.645761937197111e-06,1.9360858437782756e-05,4.24174066425969e-06,1.3004893653460497e-05,2.4917086678856877e-06,8.251384038461433e-06
hw_pdf4lhc_unc_16,0.0010971573450607715,1.9247673166418945e-06,0.00031829156389516315,0.00023353412391367327,0.00017265393784881747,0.00016003865365841395,5.1621693821379384e-05,1.7287953554985097e-05,0.00011020554686992266,9.764001087753419e-05,5.749851829033741e-05,3.0206766991591358e-05,1.5467172666345675e-05,7.352070436581418e-05,7.142474688843898e-05,4.666545799069981e-05,2.6561565575796315e-05,1.340293535932333e-05,0.00026954237665263313,0.0002918357650112779,0.0003431817417383202,5.737753735245198e-05,0.0007532944690156324,0.00010060962066935773,8.773552253970394e-05,0.00020088309834729413,0.00018186731449303356,3.5653390062563974e-05,8.104882442108538e-05,1.2458362479463734e-05,3.179063251394842e-05,7.532819740227682e-06,2.0954304860430916e-05,4.256743609376057e-06,1.2723284891599727e-05,1.5131304861378314e-05,4.023892903187267e-05,6.7100322493948695e-06,1.9515809936671505e-05,4.274678692391573e-06,1.3132719109124318e-05,2.48420975141082e-06,8.324462481957306e-06
hw_pdf4lhc_unc_17,0.0010843899842000806,1.9031014109546886e-06,0.0003140928331851785,0.00023288980674708275,0.00017157452775391172,0.00015729969811519056,5.141301952609377e-05,1.717987892547804e-05,0.0001099227614447599,9.73578033787297e-05,5.7290451610720976e-05,3.0038787785092954e-05,1.5327684145495932e-05,7.320471643146462e-05,7.107958318083799e-05,4.643798708624097e-05,2.6380498236274695e-05,1.3285422009505699e-05,0.0002680675369718611,0.0002874183299474371,0.00034380830375971446,5.743072817689324e-05,0.0007400769777009151,0.00010031474658973958,8.729694791876037e-05,0.00020054133466395127,0.00018112966622237382,3.547524981230391e-05,8.056535812244786e-05,1.23890665837589e-05,3.158201016087229e-05,7.467153822988715e-06,2.0854552986636995e-05,4.189558183038118e-06,1.2650719867061523e-05,1.503219568456071e-05,3.995291141169866e-05,6.645142568936516e-06,1.9357602749357697e-05,4.246927184064515e-06,1.3004542950081441e-05,2.483151794797572e-06,8.252648629957235e-06
hw_pdf4lhc_unc_18,0.0010897266436383692,1.90403878475211e-06,0.0003107968987548679,0.0002333980431394948,0.00017141772518827883,0.00015912738032054227,5.1558156505592926e-05,1.7208814382868157e-05,0.00011005383561461138,9.745737988891271e-05,5.733309732193124e-05,3.008082087640195e-05,1.535057545946761e-05,7.330179580481497e-05,7.116735200479644e-05,4.6480891507274066e-05,2.6402682187704962e-05,1.3301421686830115e-05,0.0002691594197160721,0.00029062253425690026,0.000341518259588906,5.7429104725286394e-05,0.0007479395667505418,0.00010043693474134231,8.754477876461039e-05,0.00020065961729008055,0.00018136483811295403,3.551849328168498e-05,8.066204753903865e-05,1.2408352063619164e-05,3.1616169329865366e-05,7.477521935775691e-06,2.0874894320255947e-05,4.185803713326899e-06,1.2655728737891422e-05,1.5054946097004257e-05,3.999124288658689e-05,6.6472560416674255e-06,1.937276838536649e-05,4.246002932319033e-06,1.3002146574135885e-05,2.4925902132230496e-06,8.246758513595323e-06
hw_pdf4lhc_unc_19,0.0010930693946271288,1.9220876364012414e-06,0.0003109290341485716,0.00023357059919355854,0.00017022002560449152,0.00015937878169250581,5.148023385749251e-05,1.7150498181864085e-05,0.00011022468269780411,9.757655547851506e-05,5.7405652486473506e-05,3.0067975433903356e-05,1.5346886005130694e-05,7.355275102112184e-05,7.141856050305551e-05,4.664933928353449e-05,2.6508967165105362e-05,1.3325188919106721e-05,0.000270319498407704,0.0002907268456454979,0.0003426573423152139,5.73546073844765e-05,0.000751616292093273,0.00010058700176844398,8.764852172310993e-05,0.00020072116099377547,0.0001818203939351776,3.563874430115381e-05,8.100180776444328e-05,1.2448724670122485e-05,3.1763110332972976e-05,7.5143344772716695e-06,2.1011567436736432e-05,4.345801417226284e-06,1.2720515918383495e-05,1.5060943971178527e-05,4.0123381678381556e-05,6.672242195997325e-06,1.9466052529871765e-05,4.233347938715636e-06,1.3089575468615033e-05,2.4467169105062648e-06,8.306132996217017e-06
