,ALL,UNKNOWN,TTH_FWDH,TTH_PTH_0_60,TTH_PTH_60_120,TTH_PTH_120_200,TTH_PTH_200_300,TTH_PTH_300_450,TTH_PTH_GT450
hw_pdf4lhc_unc_18,1.0,0.001370700079237249,0.01325613119987786,0.23292886173751665,0.3511655942811408,0.24962767514382916,0.10357277059395308,0.037561325533513254,0.010516941430931981
hw_pdf4lhc_unc_19,1.0,0.0013723842652482627,0.0131892133150684,0.23266590858911448,0.3509463650460643,0.24973342737461915,0.10378491324842423,0.03771844412125107,0.010589344040210091
hw_pdf4lhc_unc_20,1.0,0.0013680900978440456,0.013076487384808422,0.2328087698529878,0.35107408448700955,0.2497139068542863,0.1037198382536486,0.03767299402931228,0.010565829040102939
hw_pdf4lhc_unc_21,1.0,0.001390224332932342,0.013648392844168637,0.23219360673928535,0.35041882700787336,0.24965381739973824,0.10399536368103066,0.037955135977278405,0.010744632017692926
hw_pdf4lhc_unc_22,1.0,0.0013699486042039982,0.013133198850981824,0.232756253545145,0.35101958778747316,0.24970629771128203,0.10374171843401071,0.037694860326952094,0.010578134739951178
hw_pdf4lhc_unc_23,1.0,0.001367846906853999,0.01307399497823893,0.23277192239382066,0.3510416349435973,0.24972283026916414,0.10375068935519516,0.03769769031599051,0.010573390837139271
hw_pdf4lhc_unc_24,1.0,0.0013705107569068047,0.01314721615598125,0.23275843753081962,0.3510222205337107,0.24970154510010834,0.10373277560959766,0.03769048120391069,0.010576813108964939
hw_pdf4lhc_unc_25,1.0,0.0013681216627787357,0.013104200390879835,0.2327924607609737,0.35105766723150655,0.24970381806489864,0.10372408557082609,0.0376802312839934,0.010569415034143098
hw_pdf4lhc_unc_26,1.0,0.0013691110683036233,0.013113902272821307,0.23287531893009225,0.3511319591098624,0.24967413594393603,0.10365589581790476,0.03763109282618255,0.010548584030897035
hw_pdf4lhc_unc_27,1.0,0.0013621997590769557,0.012982687035599355,0.23288572749328312,0.3511742801844387,0.24973371390847224,0.10369265973534171,0.037635576529740575,0.010533155354047292
hw_pdf4lhc_unc_28,1.0,0.0013697653529278033,0.013123394239248097,0.23276185960421175,0.3510251283614066,0.24970685071819318,0.10373975856563723,0.03769429055199418,0.010578952606381186
hw_pdf4lhc_unc_29,1.0,0.001369525135199269,0.01311693847546319,0.23277975644875584,0.3510432101290052,0.24970349863534574,0.10372800527652914,0.03768508298835442,0.01057398291134712
hw_qcd_0,1.0,0.0013207708622424044,0.011877052030684341,0.22189245468996552,0.38259823355881306,0.23721793821184783,0.09892538264234203,0.03608600395963464,0.010082164044470243
hw_qcd_1,1.0,0.0013229125356005443,0.012124395211923017,0.22373098018224571,0.3785986995344682,0.2387264793447535,0.09928492165405177,0.036123754631919795,0.010087856905037398
hw_qcd_2,1.0,0.001323075044822545,0.012322023368137874,0.22556929562912317,0.3754547376375644,0.23990040344616845,0.09939174628643331,0.036014659047118786,0.010024059540631564
hw_qcd_3,1.0,0.0013210817445228743,0.012528907248236026,0.22353773339431166,0.37547519656254086,0.24003926618865193,0.1001940014663127,0.03660227601455887,0.01030153738086521
hw_qcd_4,1.0,0.0013212521785571838,0.012749635822036979,0.22695455109509405,0.37088574952055353,0.241787668509752,0.10003857128398423,0.03617995005572796,0.01008262153429403
hw_qcd_5,1.0,0.0013207744834552325,0.012935613779060308,0.2243357610325409,0.370676210500777,0.24197529914383253,0.10119702644225431,0.037058414819582046,0.010500899798497686
hw_qcd_6,1.0,0.0013204269667891789,0.012984136231329362,0.22607274438680908,0.36899304072683176,0.2426338128524526,0.10093169027578554,0.036728489021728,0.010335659538274485
hw_qcd_7,1.0,0.0013195053649017578,0.013026145678953417,0.22766342956491858,0.3676488125349943,0.24315892479173046,0.10062743363139207,0.03638978347966375,0.010165964953445673
