,ALL,UNKNOWN,TTH_FWDH,TTH_PTH_0_60,TTH_PTH_60_120,TTH_PTH_120_200,TTH_PTH_200_300,TTH_PTH_300_450,TTH_PTH_GT450
hw_pdf4lhc_unc_7,0.0006219661570812668,2.291596909958459e-05,7.063525517201938e-05,0.00029985551771301446,0.00036804582008629244,0.0003112657986070625,0.00020022949584684393,0.00012130206293250031,6.529872582420126e-05
hw_pdf4lhc_unc_8,0.0006222351969290247,2.299523870661351e-05,7.143014531418367e-05,0.0002997453247199058,0.00036801670408275914,0.00031152839503144933,0.00020036670095777349,0.00012152911891593547,6.554355003421436e-05
hw_pdf4lhc_unc_9,0.0006218372854636872,2.2948778160469263e-05,7.107053584690273e-05,0.0002996919699480241,0.00036784603174880076,0.00031107362343211803,0.00020036945551691132,0.00012152460301037586,6.553636507615932e-05
hw_pdf4lhc_unc_10,0.0006221572234299852,2.295070913477062e-05,7.106835173128599e-05,0.00029981107529064105,0.0003680502385708969,0.0003114529756673108,0.00020029749187856847,0.00012143914921006664,6.545989423884458e-05
hw_pdf4lhc_unc_11,0.0006218931652834387,2.297206377549472e-05,7.126085659831475e-05,0.0002997608585307931,0.00036792052504531575,0.00031111485837828265,0.000200291646015012,0.00012139702549985294,6.539695868257814e-05
hw_pdf4lhc_unc_12,0.0006221272292678599,2.300331731279092e-05,7.164413271232273e-05,0.0002996401656344911,0.00036785847572361793,0.0003113507078364074,0.00020047967800445557,0.00012176341085017575,6.57151065507063e-05
hw_pdf4lhc_unc_13,0.0006223065968558322,2.2986219001456157e-05,7.128534877572619e-05,0.0002997037100973755,0.0003679858393272655,0.00031161290793964844,0.00020047503344280116,0.00012169371390352259,6.570721461586403e-05
hw_pdf4lhc_unc_14,0.0006221531772211796,2.2995678266391778e-05,7.131564979367793e-05,0.00029975820559975636,0.00036797980991957135,0.0003114328695494689,0.0002003629550328339,0.00012152995720705415,6.550155711964972e-05
hw_pdf4lhc_unc_15,0.000623684656067183,2.302113388510639e-05,7.164651760710267e-05,0.0002996910553607515,0.00036854487433801486,0.00031351050300507116,0.00020053727642172937,0.00012185870231439745,6.577022882815971e-05
hw_pdf4lhc_unc_16,0.0006220939953976509,2.298411901371131e-05,7.147633050376946e-05,0.000299494979398678,0.00036777505554495284,0.0003114107533214903,0.00020061235362058496,0.00012185426897766184,6.586070768717238e-05
hw_pdf4lhc_unc_17,0.0006221303572733219,2.3040179795999943e-05,7.186163301854303e-05,0.0002996045425909036,0.0003678175993180718,0.00031140501198961547,0.000200464017757825,0.00012171358843790176,6.576828588613335e-05
hw_pdf4lhc_unc_18,0.0006220718038482755,2.3007450328178873e-05,7.207349577930438e-05,0.000299828930720025,0.0003680047933585314,0.00031131315339659563,0.0002001150328843252,0.00012122943332438637,6.531462760245025e-05
hw_pdf4lhc_unc_19,0.0006221503490046177,2.304060878584562e-05,7.176300466021228e-05,0.00029954570409667367,0.00036781847818972166,0.0003114552260956414,0.0002005524245956799,0.00012174810927039381,6.575683653050806e-05
hw_pdf4lhc_unc_20,0.0006222066713455573,2.297169296918169e-05,7.122901153715164e-05,0.00029971627042292554,0.0003679853597421584,0.0003114795004859788,0.00020044885046187488,0.00012161797357707913,6.562507898827391e-05
hw_pdf4lhc_unc_21,0.0006225068063092378,2.3332140551568515e-05,7.44829471816371e-05,0.0002991709029100481,0.0003673887516463362,0.00031152165427003836,0.0002010452661075924,0.00012257062060022644,6.675630738545235e-05
hw_pdf4lhc_unc_22,0.0006221623533413086,2.300145629358946e-05,7.151524890822332e-05,0.0002996469201296726,0.00036790141398471127,0.0003114447677944086,0.00020046497516631328,0.00012167229432777103,6.568540233635327e-05
