,ALL,UNKNOWN,QQ2HLNU_FWDH,QQ2HLNU_PTV_0_75_0J,QQ2HLNU_PTV_75_150_0J,QQ2HLNU_PTV_150_250_0J,QQ2HLNU_PTV_250_400_0J,QQ2HLNU_PTV_GT400_0J,QQ2HLNU_PTV_0_75_1J,QQ2HLNU_PTV_75_150_1J,QQ2HLNU_PTV_150_250_1J,QQ2HLNU_PTV_250_400_1J,QQ2HLNU_PTV_GT400_1J,QQ2HLNU_PTV_0_75_GE2J,QQ2HLNU_PTV_75_150_GE2J,QQ2HLNU_PTV_150_250_GE2J,QQ2HLNU_PTV_250_400_GE2J,QQ2HLNU_PTV_GT400_GE2J,QQ2HQQ_FWDH,QQ2HQQ_0J,QQ2HQQ_1J,QQ2HQQ_GE2J_MJJ_0_60_PTHJJ_0_25,QQ2HQQ_GE2J_MJJ_60_120_PTHJJ_0_25,QQ2HQQ_GE2J_MJJ_120_350_PTHJJ_0_25,QQ2HQQ_GE2J_MJJ_0_60_PTHJJ_GT25,QQ2HQQ_GE2J_MJJ_60_120_PTHJJ_GT25,QQ2HQQ_GE2J_MJJ_120_350_PTHJJ_GT25,QQ2HQQ_GE2J_MJJ_350_700_PTH_0_200_PTHJJ_0_25,QQ2HQQ_GE2J_MJJ_350_700_PTH_0_200_PTHJJ_GT25,QQ2HQQ_GE2J_MJJ_700_1000_PTH_0_200_PTHJJ_0_25,QQ2HQQ_GE2J_MJJ_700_1000_PTH_0_200_PTHJJ_GT25,QQ2HQQ_GE2J_MJJ_1000_1500_PTH_0_200_PTHJJ_0_25,QQ2HQQ_GE2J_MJJ_1000_1500_PTH_0_200_PTHJJ_GT25,QQ2HQQ_GE2J_MJJ_GT1500_PTH_0_200_PTHJJ_0_25,QQ2HQQ_GE2J_MJJ_GT1500_PTH_0_200_PTHJJ_GT25,QQ2HQQ_GE2J_MJJ_350_700_PTH_GT200_PTHJJ_0_25,QQ2HQQ_GE2J_MJJ_350_700_PTH_GT200_PTHJJ_GT25,QQ2HQQ_GE2J_MJJ_700_1000_PTH_GT200_PTHJJ_0_25,QQ2HQQ_GE2J_MJJ_700_1000_PTH_GT200_PTHJJ_GT25,QQ2HQQ_GE2J_MJJ_1000_1500_PTH_GT200_PTHJJ_0_25,QQ2HQQ_GE2J_MJJ_1000_1500_PTH_GT200_PTHJJ_GT25,QQ2HQQ_GE2J_MJJ_GT1500_PTH_GT200_PTHJJ_0_25,QQ2HQQ_GE2J_MJJ_GT1500_PTH_GT200_PTHJJ_GT25
hw_pdf4lhc_unc_9,0.0005852593580703197,3.0298947531367184e-05,0.00012059100186233416,0.00018776822830290598,0.00014295637586518223,7.582084912909235e-05,3.6897470956774185e-05,1.6870112693110963e-05,0.00010223913180649085,8.943636875801971e-05,5.294602218312182e-05,2.8026217822449923e-05,1.3345997532275042e-05,6.754825363512424e-05,6.347594317010069e-05,4.1870984724432655e-05,2.3796967304768566e-05,1.229201421172636e-05,0.00017448456154690173,0.00011676629594470903,0.00026850058569384463,5.961259877127259e-05,0.00019857720150303625,8.75659130133074e-05,6.796176025812377e-05,0.00016402176174860254,0.0001530261375462122,3.0848163981532854e-05,6.789487989204823e-05,1.073295339691773e-05,2.6910607469810282e-05,6.679635375384801e-06,1.74999554352825e-05,3.3825161625220304e-06,1.0163278044415724e-05,1.647336916936019e-05,3.5323751283096464e-05,6.64772653363965e-06,1.710944684529366e-05,4.468560366343605e-06,1.1629483837780708e-05,2.4934317527670172e-06,7.075133867625539e-06
hw_pdf4lhc_unc_10,0.000586101476396331,3.032364647085223e-05,0.00012084462237347913,0.00018799744544153936,0.00014300291216856132,7.587461134544188e-05,3.688649480245627e-05,1.687206730036472e-05,0.0001023491408078679,8.959108210623955e-05,5.292076289388713e-05,2.8005216064171858e-05,1.3328548744489093e-05,6.760575613445235e-05,6.347757689153666e-05,4.183535548471215e-05,2.376263566010249e-05,1.2258069804675078e-05,0.00017532160508447003,0.00011690990651130436,0.00026873815595746187,5.964437990643147e-05,0.00019915996403083684,8.761484053197061e-05,6.801238348961092e-05,0.00016411523649816886,0.00015310690445648358,3.083297877155295e-05,6.784578319688746e-05,1.0717908122336143e-05,2.6907413830944036e-05,6.677614418404127e-06,1.7493410547155903e-05,3.378251411137074e-06,1.0162281273084848e-05,1.7162232971461302e-05,3.52644770353872e-05,6.633360682013297e-06,1.706265095646477e-05,4.46113029791983e-06,1.1609834635032547e-05,2.484934618379393e-06,7.058984112604963e-06
hw_pdf4lhc_unc_11,0.0005856069789671015,3.047959035526405e-05,0.00012123815125275756,0.00018773809290679663,0.00014297441866490196,7.584779133796532e-05,3.6889370061668475e-05,1.6829984329700927e-05,0.00010216883657225106,8.940288626817653e-05,5.2927938798460753e-05,2.8007241183526253e-05,1.3316042930605345e-05,6.750618793975196e-05,6.344414897311058e-05,4.186129872191717e-05,2.37834839756261e-05,1.2262318023565113e-05,0.00017545020736800212,0.00011674151622556749,0.0002684677046140451,5.96192348902028e-05,0.0001986447909565885,8.751464559147737e-05,6.794239095252569e-05,0.00016396468084392966,0.0001529406797392685,3.082882432590068e-05,6.78623061521029e-05,1.0723190012990767e-05,2.6899143236839264e-05,6.675193866578354e-06,1.751177635480105e-05,3.377611067342834e-06,1.0182380124796098e-05,1.6536845684115905e-05,3.529473326538854e-05,6.6372156150455045e-06,1.7096829865750507e-05,4.461689529232977e-06,1.1636066591138115e-05,2.488271704487636e-06,7.085647278161481e-06
hw_pdf4lhc_unc_12,0.0005857869280310273,3.0347809310599446e-05,0.00012090605182022867,0.00018781052397464566,0.00014296628442488562,7.585665754101716e-05,3.686957988885562e-05,1.684627482941806e-05,0.00010226887400787792,8.953964161782554e-05,5.29395133091881e-05,2.8012005504500134e-05,1.3329453744556155e-05,6.75799693297024e-05,6.349817084944052e-05,4.1879634320622304e-05,2.3795399098108133e-05,1.2281350085810911e-05,0.00017526723071606385,0.00011679688910783146,0.00026854777778308094,5.9619992568798616e-05,0.00019888470705947025,8.758965904788749e-05,6.796846053573908e-05,0.00016403466421584486,0.000153108626384136,3.0858930502157824e-05,6.791305089113451e-05,1.0733906815312282e-05,2.6936585744951187e-05,6.683997945336432e-06,1.7511327331188703e-05,3.3874387317885622e-06,1.0171664654712713e-05,1.701714757333938e-05,3.532042846019436e-05,6.643297920451264e-06,1.7108629843393596e-05,4.470035825415924e-06,1.1639895055444081e-05,2.4963945301032772e-06,7.080653777698331e-06
hw_pdf4lhc_unc_13,0.0005863560355349012,3.031248551345412e-05,0.00012090450822753805,0.0001875353140584366,0.0001427884368806489,7.590422609057573e-05,3.695962278950677e-05,1.6952255507328077e-05,0.00010262542058389028,8.994100598081858e-05,5.31261766246826e-05,2.8142835700673745e-05,1.3415386496112464e-05,6.792207767657554e-05,6.380589384117408e-05,4.208101321786779e-05,2.392315188130603e-05,1.235778828774537e-05,0.0001755629301738362,0.00011661599957917305,0.0002682711002446588,5.9574027947586576e-05,0.00019908538822335076,8.792989910107884e-05,6.807632603436769e-05,0.00016443176231425142,0.00015379890114205862,3.1017489528326246e-05,6.827944110070013e-05,1.0794041989726578e-05,2.711334914326031e-05,6.7297183674617485e-06,1.7621757151609848e-05,3.4087543174089247e-06,1.0238292484677429e-05,1.7580671382649312e-05,3.552255580916082e-05,6.684689186792623e-06,1.72110259694266e-05,4.503381744078385e-06,1.1715844221260716e-05,2.5131898218563e-06,7.126864257845036e-06
hw_pdf4lhc_unc_14,0.0005858710795503053,3.0347136567062583e-05,0.00012090346492782315,0.00018799891440538354,0.00014301160534525492,7.581338319471489e-05,3.677080541959262e-05,1.671849691710207e-05,0.00010226608778162947,8.950760227533707e-05,5.2841609967192835e-05,2.791010749871119e-05,1.3216047209207255e-05,6.754484908537103e-05,6.34254066536213e-05,4.179471479688932e-05,2.3705786533517906e-05,1.2164963998546242e-05,0.00017538705978503518,0.00011692194784081194,0.0002687074968424997,5.96439665790374e-05,0.00019900518846550916,8.753597390119312e-05,6.796060055059297e-05,0.00016394946137810874,0.00015297167082539226,3.079877548895527e-05,6.778437857761691e-05,1.0698499026463652e-05,2.6867288881004078e-05,6.655321623307455e-06,1.7468295351118585e-05,3.3607160643586436e-06,1.0149566387157693e-05,1.719718532168304e-05,3.515555734348447e-05,6.591366193853391e-06,1.70142280781745e-05,4.435867756411327e-06,1.1566132036768774e-05,2.4721613587634694e-06,7.034480518509198e-06
hw_pdf4lhc_unc_15,0.0005895187573801259,3.0361038985620328e-05,0.00012309132441760894,0.0001879351943163264,0.0001430829943048461,7.643885780018034e-05,3.7003296736735496e-05,1.6963782375341887e-05,0.00010221191415311388,9.02126075699679e-05,5.291079550527198e-05,2.805339517373521e-05,1.3350318234597814e-05,6.752354806095973e-05,6.342618459207468e-05,4.181589959443421e-05,2.3769490833518312e-05,1.2266474333635721e-05,0.0001811435473932454,0.00011687339201683144,0.0002687809354239877,5.96467528389913e-05,0.00020183134886826248,8.756612242438448e-05,6.799374319031566e-05,0.00016404086902377954,0.00015321866815394666,3.0809936177686414e-05,6.778920104049367e-05,1.0714008443112525e-05,2.7001015972566048e-05,6.677257513260582e-06,1.7481179928865228e-05,3.385634836548654e-06,1.0151802181007355e-05,2.0976280350292078e-05,3.52832932373938e-05,6.630968963080729e-06,1.7070345627001365e-05,4.477242414796753e-06,1.161946474416714e-05,2.4895257806890947e-06,7.061085501646453e-06
hw_pdf4lhc_unc_16,0.0005858343569305805,3.0282536726531735e-05,0.00012077056068114922,0.0001876102516134339,0.00014289568233920018,7.587346484767463e-05,3.690369348964069e-05,1.6891084862342554e-05,0.00010235844661979032,8.970132997857069e-05,5.307699557046529e-05,2.8109147823647882e-05,1.3394395097141938e-05,6.773142657359823e-05,6.369920355303794e-05,4.2056795886368934e-05,2.3924994142101722e-05,1.2364254197679337e-05,0.00017505396465540885,0.00011665617059597753,0.00026834322485629216,5.959492916152593e-05,0.0001988427681763511,8.774466741191784e-05,6.798953450181239e-05,0.00016416312754257892,0.00015348333331786058,3.098665102946759e-05,6.821875308760676e-05,1.0784278378251063e-05,2.706551926009049e-05,6.707938754171319e-06,1.7586841644014686e-05,3.3999324262541606e-06,1.0203655137686677e-05,1.7259305469863897e-05,3.553492720911938e-05,6.688495724367781e-06,1.7234374038988365e-05,4.50639695753427e-06,1.1722826846756835e-05,2.5167179264583583e-06,7.132595980100129e-06
hw_pdf4lhc_unc_17,0.0005858907217088524,3.0261451001207196e-05,0.00012066044611019453,0.0001879137257576667,0.0001430112966212782,7.587089878820771e-05,3.6846102608759216e-05,1.6829871625854397e-05,0.00010233561261453176,8.962454000885313e-05,5.293287048883382e-05,2.7992695280657327e-05,1.3311704554891417e-05,6.762227507111402e-05,6.352457563572783e-05,4.187877899282385e-05,2.3784136930225034e-05,1.2265316848900121e-05,0.0001750075652134225,0.00011686587546365788,0.0002686723112298133,5.963911451619446e-05,0.00019900674151319565,8.763405218689934e-05,6.799896186684919e-05,0.00016408932686350614,0.00015317315317126708,3.086336256427064e-05,6.792523651043058e-05,1.0735209159365717e-05,2.6951350006342214e-05,6.682317489133862e-06,1.7508693994166878e-05,3.385684956064549e-06,1.0165231978976383e-05,1.7226595989149174e-05,3.5301644459320056e-05,6.633099517244178e-06,1.709964257428542e-05,4.459643233682225e-06,1.1631612034778175e-05,2.486193527182002e-06,7.0721291806511e-06
hw_pdf4lhc_unc_18,0.0005858011894660585,3.032884164567015e-05,0.00012092765468243651,0.00018791929819592335,0.00014308563036174006,7.596739783968927e-05,3.693851501663228e-05,1.6882636189461214e-05,0.00010211796883493873,8.9431459066658e-05,5.287578405955165e-05,2.7990467945344174e-05,1.3314538242054921e-05,6.740656156669889e-05,6.332273365948673e-05,4.17561413787393e-05,2.372042309890854e-05,1.2237762080039622e-05,0.0001753583344744143,0.0001168653292268579,0.000268705591455051,5.9654084393372304e-05,0.000199184511374418,8.74426616564208e-05,6.795446263794004e-05,0.00016393980049897013,0.00015277584116085634,3.0763515795848365e-05,6.76780778285468e-05,1.0691014120090542e-05,2.6825361652504694e-05,6.645492680210678e-06,1.7431581024287747e-05,3.367979326709943e-06,1.0128086895623711e-05,1.7074446806487214e-05,3.5194254065768494e-05,6.619909147793496e-06,1.7017004085610092e-05,4.447534579567681e-06,1.1571051703553026e-05,2.4692389979470844e-06,7.034178877252839e-06
hw_pdf4lhc_unc_19,0.00058575603665104,3.020521973988806e-05,0.00012038247862107824,0.00018800566825886454,0.00014327303244675334,7.618333329866327e-05,3.712137943803667e-05,1.6979378386192274e-05,0.00010207389759139517,8.944763663374199e-05,5.2950191429342626e-05,2.807541370229724e-05,1.3368595382745645e-05,6.733178355981268e-05,6.328951026370618e-05,4.177144139679871e-05,2.3753505246167936e-05,1.226264628148962e-05,0.0001745479065329261,0.00011690268543685075,0.00026890354413616595,5.9708983851210216e-05,0.00019939427202203663,8.744322731913149e-05,6.79967964565342e-05,0.0001640610762237262,0.0001527478979280474,3.0751071691090514e-05,6.763680897966398e-05,1.0686151839441229e-05,2.6798563692483143e-05,6.651238392824701e-06,1.74092347882369e-05,3.3700611572554246e-06,1.0113507604330018e-05,1.7065746941359537e-05,3.52303945094826e-05,6.632466369423047e-06,1.703443745231886e-05,4.450856924443136e-06,1.1576811770198495e-05,2.4837757941257504e-06,7.032775540999743e-06
hw_pdf4lhc_unc_20,0.0005861049623427947,3.0375622830349926e-05,0.00012106895728094517,0.00018784443993585315,0.00014298297432724602,7.589058732898972e-05,3.6883385884428475e-05,1.6880092874953365e-05,0.0001022818572172314,8.957517132191123e-05,5.293637035269162e-05,2.8017940812880492e-05,1.3335175632486975e-05,6.758700856316827e-05,6.348885756559739e-05,4.1873101375408194e-05,2.3791168076226432e-05,1.2278996902846589e-05,0.0001755981470781947,0.00011682296070083358,0.00026859795748513244,5.963688359291326e-05,0.0001992263695753743,8.759167560714179e-05,6.798021492072801e-05,0.00016405386197287158,0.00015311621004251752,3.085102512088738e-05,6.790147860229237e-05,1.0736794602422087e-05,2.6943897096202614e-05,6.67910793577558e-06,1.7517545720017453e-05,3.389298445842011e-06,1.0166599899729278e-05,1.7106738033299414e-05,3.531752339894983e-05,6.650155401309391e-06,1.7103612708836638e-05,4.475082246480625e-06,1.1633240098827603e-05,2.4920907182151127e-06,7.065243037709808e-06
hw_pdf4lhc_unc_21,0.0005858690664537288,3.040247563700913e-05,0.00012109954049685005,0.0001876733389494575,0.00014288207003373198,7.586832271600095e-05,3.6908043191001536e-05,1.6905525510835655e-05,0.00010226552100316316,8.96075417027367e-05,5.297299637667375e-05,2.8055550702341793e-05,1.3382257300934965e-05,6.75965958048499e-05,6.35385196650299e-05,4.19219989730827e-05,2.384782874512821e-05,1.2342204937418022e-05,0.00017562655759635303,0.0001167102721720905,0.000268391976971621,5.958212903536979e-05,0.00019887706186847952,8.761183381872472e-05,6.796230797462513e-05,0.0001640412708769644,0.00015317852771912728,3.088595054168173e-05,6.797956319065737e-05,1.0747940059156578e-05,2.699303100082021e-05,6.701448442250316e-06,1.7546537855476368e-05,3.4155568886812147e-06,1.0218644050817948e-05,1.7381579902000092e-05,3.540388816941458e-05,6.668630832718671e-06,1.717686793269899e-05,4.498171619697397e-06,1.16919807238117e-05,2.5175400855584836e-06,7.125454767476656e-06
