,ALL,UNKNOWN,QQ2HQQ_FWDH,QQ2HQQ_0J,QQ2HQQ_1J,QQ2HQQ_GE2J_MJJ_0_60_PTHJJ_0_25,QQ2HQQ_GE2J_MJJ_60_120_PTHJJ_0_25,QQ2HQQ_GE2J_MJJ_120_350_PTHJJ_0_25,QQ2HQQ_GE2J_MJJ_0_60_PTHJJ_GT25,QQ2HQQ_GE2J_MJJ_60_120_PTHJJ_GT25,QQ2HQQ_GE2J_MJJ_120_350_PTHJJ_GT25,QQ2HQQ_GE2J_MJJ_350_700_PTH_0_200_PTHJJ_0_25,QQ2HQQ_GE2J_MJJ_350_700_PTH_0_200_PTHJJ_GT25,QQ2HQQ_GE2J_MJJ_700_1000_PTH_0_200_PTHJJ_0_25,QQ2HQQ_GE2J_MJJ_700_1000_PTH_0_200_PTHJJ_GT25,QQ2HQQ_GE2J_MJJ_1000_1500_PTH_0_200_PTHJJ_0_25,QQ2HQQ_GE2J_MJJ_1000_1500_PTH_0_200_PTHJJ_GT25,QQ2HQQ_GE2J_MJJ_GT1500_PTH_0_200_PTHJJ_0_25,QQ2HQQ_GE2J_MJJ_GT1500_PTH_0_200_PTHJJ_GT25,QQ2HQQ_GE2J_MJJ_350_700_PTH_GT200_PTHJJ_0_25,QQ2HQQ_GE2J_MJJ_350_700_PTH_GT200_PTHJJ_GT25,QQ2HQQ_GE2J_MJJ_700_1000_PTH_GT200_PTHJJ_0_25,QQ2HQQ_GE2J_MJJ_700_1000_PTH_GT200_PTHJJ_GT25,QQ2HQQ_GE2J_MJJ_1000_1500_PTH_GT200_PTHJJ_0_25,QQ2HQQ_GE2J_MJJ_1000_1500_PTH_GT200_PTHJJ_GT25,QQ2HQQ_GE2J_MJJ_GT1500_PTH_GT200_PTHJJ_0_25,QQ2HQQ_GE2J_MJJ_GT1500_PTH_GT200_PTHJJ_GT25
hw_pdf4lhc_unc_7,0.0004364671281703054,1.0140812341139982e-06,0.00012325122232957375,0.00011721218578533109,0.00025422770147787925,3.0870560742450304e-05,4.37210522965062e-05,0.00011855721776152645,3.841984867170873e-05,4.954998602569119e-05,8.260281964337026e-05,0.00013863145403643357,7.562813448997432e-05,0.0001009314674167173,5.15457510676625e-05,9.782749430618112e-05,4.6748638566219596e-05,0.00010268825907376758,4.182839919198068e-05,3.1945722013795505e-05,2.8122015702933423e-05,3.0365959689917055e-05,2.3232550006070975e-05,3.380842072957529e-05,2.3876793357221653e-05,4.216687156842975e-05,2.5873740147508405e-05
hw_pdf4lhc_unc_8,0.0004357838130373591,1.0282303451197972e-06,0.00012170379471410318,0.00011713320475975209,0.00025401894947027785,3.0866780185954075e-05,4.35927930933639e-05,0.00011844937646142835,3.836826487039783e-05,4.9507087270560575e-05,8.255108568011894e-05,0.0001385337797196022,7.558499499225683e-05,0.00010089833248578365,5.158898331832363e-05,9.789179373535381e-05,4.681392009658812e-05,0.00010261487223103533,4.188067861448337e-05,3.196080787858104e-05,2.8107466312050263e-05,3.0386688169252466e-05,2.3263128058244853e-05,3.38707244280123e-05,2.3929527930250213e-05,4.197033027487422e-05,2.5799129307414695e-05
hw_pdf4lhc_unc_9,0.00043643746873501957,1.0204120157946705e-06,0.00012398210742966073,0.00011698679812615502,0.00025393672925865066,3.083274398003905e-05,4.351884075772247e-05,0.00011824508165122374,3.836345549812782e-05,4.947392788099577e-05,8.248429965680358e-05,0.00013839163978069784,7.5539522459317e-05,0.00010082216557295655,5.1567831447866614e-05,9.787720429286859e-05,4.6832585574267564e-05,0.00010328165030125457,4.22695432603231e-05,3.1999832669066716e-05,2.8088946360965232e-05,3.036121261110216e-05,2.3286401560330886e-05,3.394590074986924e-05,2.3967597556301837e-05,4.235388467706991e-05,2.6042825246086662e-05
hw_pdf4lhc_unc_10,0.00043582673684867425,1.0097161787647419e-06,0.00012210204547212698,0.00011717595171347887,0.0002540229358310217,3.08639850136153e-05,4.361047475213051e-05,0.00011852630124623578,3.833804278703462e-05,4.947018761637875e-05,8.251648802741894e-05,0.00013854940432556998,7.55370913633866e-05,0.00010087008309737668,5.152346975309561e-05,9.782884232980385e-05,4.67189937979164e-05,0.00010251732448558629,4.17815928078363e-05,3.195188272283321e-05,2.8078567268754324e-05,3.037145232468291e-05,2.322687060999551e-05,3.383870245049367e-05,2.387985053783784e-05,4.192873390368121e-05,2.5762269353440554e-05
hw_pdf4lhc_unc_11,0.00043579931879707176,1.0167863319515482e-06,0.00012238782533877828,0.0001171324540214813,0.000253927136312655,3.085845911558128e-05,4.361228780872334e-05,0.00011850105544093247,3.8346684050492846e-05,4.94809316359526e-05,8.254463492016503e-05,0.00013848199237463172,7.554027925640229e-05,0.0001008022607065886,5.1524162278419486e-05,9.775856815410751e-05,4.673111269065608e-05,0.00010253409296434234,4.1833620400736864e-05,3.193748123810765e-05,2.808072371227269e-05,3.0352927611724836e-05,2.3230615317947334e-05,3.3823499896050096e-05,2.3891255517578276e-05,4.1953763987780153e-05,2.5793755808504797e-05
hw_pdf4lhc_unc_12,0.0004366357090199452,1.0203837369989276e-06,0.00012329514415224176,0.0001170409562047534,0.000254548923116443,3.0864838274815374e-05,4.356031447720634e-05,0.00011828179796416342,3.8346627751877344e-05,4.946688456159087e-05,8.249343202584659e-05,0.0001384003805230362,7.551477596461595e-05,0.00010082632067687289,5.164333309379515e-05,9.78850193934952e-05,4.6860175398949334e-05,0.00010323843966012451,4.22685492039255e-05,3.214260704588169e-05,2.8108655207729193e-05,3.0382162671157582e-05,2.3268690164000245e-05,3.397464403733883e-05,2.3957129151786604e-05,4.227841723757047e-05,2.5985003393939602e-05
hw_pdf4lhc_unc_13,0.00043587728989982516,1.0092488361693332e-06,0.00012289979677839496,0.00011714034787147527,0.00025390077149488387,3.085244083836662e-05,4.3618264759985753e-05,0.00011847664836337617,3.8320323761189745e-05,4.944740456892385e-05,8.246591435787173e-05,0.00013837916482000454,7.544343008770916e-05,0.00010075561510718145,5.1472309008067524e-05,9.779566950275552e-05,4.6706191646998174e-05,0.00010266935435617338,4.1838331912452636e-05,3.191405042996138e-05,2.805902819015233e-05,3.034545304375112e-05,2.321304156517843e-05,3.3835820738576504e-05,2.3878014409685905e-05,4.2027114134256295e-05,2.5799208866365323e-05
hw_pdf4lhc_unc_14,0.0004422367949919317,1.0123756480455998e-06,0.0001335012931784826,0.00011750055466523686,0.00025599487721338397,3.085880237562566e-05,4.461390083457028e-05,0.00011861445529143318,3.901898333157465e-05,4.994010528930595e-05,8.292972250579521e-05,0.00013893857568413645,7.597155110688999e-05,0.00010146395514074465,5.158942153731881e-05,9.833337140908236e-05,4.6984730244473204e-05,0.00010518907622561299,4.238216953521099e-05,3.196367483129784e-05,2.849142919210636e-05,3.0342837003247265e-05,2.331339025678027e-05,3.386843539681314e-05,2.391772826134485e-05,4.456412450766569e-05,2.7043901431175816e-05
hw_pdf4lhc_unc_15,0.00043582499038395396,1.0198489595305541e-06,0.00012263052506303885,0.00011715942332900471,0.00025392844907033506,3.08525988025255e-05,4.3611894051708155e-05,0.00011852637656796127,3.8334066590630175e-05,4.94641805688615e-05,8.252610899383811e-05,0.00013849535233570123,7.551834619872162e-05,0.0001007736362948473,5.1482777647566146e-05,9.770502342857901e-05,4.668043920993499e-05,0.00010248757581253127,4.181010173018339e-05,3.192891694147183e-05,2.8063008820662268e-05,3.0336913321565087e-05,2.3213562229801997e-05,3.3805630456347914e-05,2.3863857168458268e-05,4.194692186740301e-05,2.5769349882355585e-05
hw_pdf4lhc_unc_16,0.0004359469162644733,9.858077360685466e-07,0.00012234704871674039,0.00011714599606320429,0.00025402254179525494,3.086089869283961e-05,4.360922982583716e-05,0.00011855866543189292,3.8337371307804974e-05,4.946203579792371e-05,8.250686598421564e-05,0.0001385957125323317,7.553219383864531e-05,0.00010088863724762317,5.150830813824815e-05,9.784909735627559e-05,4.6693950540503996e-05,0.00010262905038062603,4.177535243951888e-05,3.195939912365545e-05,2.809034706321547e-05,3.038470159899693e-05,2.323089608339759e-05,3.385041752817814e-05,2.3877525392097692e-05,4.199228170230622e-05,2.577721087003246e-05
