,ALL,UNKNOWN,QQ2HQQ_FWDH,QQ2HQQ_0J,QQ2HQQ_1J,QQ2HQQ_GE2J_MJJ_0_60_PTHJJ_0_25,QQ2HQQ_GE2J_MJJ_60_120_PTHJJ_0_25,QQ2HQQ_GE2J_MJJ_120_350_PTHJJ_0_25,QQ2HQQ_GE2J_MJJ_0_60_PTHJJ_GT25,QQ2HQQ_GE2J_MJJ_60_120_PTHJJ_GT25,QQ2HQQ_GE2J_MJJ_120_350_PTHJJ_GT25,QQ2HQQ_GE2J_MJJ_350_700_PTH_0_200_PTHJJ_0_25,QQ2HQQ_GE2J_MJJ_350_700_PTH_0_200_PTHJJ_GT25,QQ2HQQ_GE2J_MJJ_700_1000_PTH_0_200_PTHJJ_0_25,QQ2HQQ_GE2J_MJJ_700_1000_PTH_0_200_PTHJJ_GT25,QQ2HQQ_GE2J_MJJ_1000_1500_PTH_0_200_PTHJJ_0_25,QQ2HQQ_GE2J_MJJ_1000_1500_PTH_0_200_PTHJJ_GT25,QQ2HQQ_GE2J_MJJ_GT1500_PTH_0_200_PTHJJ_0_25,QQ2HQQ_GE2J_MJJ_GT1500_PTH_0_200_PTHJJ_GT25,QQ2HQQ_GE2J_MJJ_350_700_PTH_GT200_PTHJJ_0_25,QQ2HQQ_GE2J_MJJ_350_700_PTH_GT200_PTHJJ_GT25,QQ2HQQ_GE2J_MJJ_700_1000_PTH_GT200_PTHJJ_0_25,QQ2HQQ_GE2J_MJJ_700_1000_PTH_GT200_PTHJJ_GT25,QQ2HQQ_GE2J_MJJ_1000_1500_PTH_GT200_PTHJJ_0_25,QQ2HQQ_GE2J_MJJ_1000_1500_PTH_GT200_PTHJJ_GT25,QQ2HQQ_GE2J_MJJ_GT1500_PTH_GT200_PTHJJ_0_25,QQ2HQQ_GE2J_MJJ_GT1500_PTH_GT200_PTHJJ_GT25,QQ2HLNU_FWDH,QQ2HLNU_PTV_0_75_0J,QQ2HLNU_PTV_75_150_0J,QQ2HLNU_PTV_150_250_0J,QQ2HLNU_PTV_250_400_0J,QQ2HLNU_PTV_GT400_0J,QQ2HLNU_PTV_0_75_1J,QQ2HLNU_PTV_75_150_1J,QQ2HLNU_PTV_150_250_1J,QQ2HLNU_PTV_250_400_1J,QQ2HLNU_PTV_GT400_1J,QQ2HLNU_PTV_0_75_GE2J,QQ2HLNU_PTV_75_150_GE2J,QQ2HLNU_PTV_150_250_GE2J,QQ2HLNU_PTV_250_400_GE2J,QQ2HLNU_PTV_GT400_GE2J
hw_pdf4lhc_unc_7,1.0,0.002500056650185028,0.08173453036645442,0.04037372262007399,0.212717236541881,0.010485360040149246,0.11417756729013093,0.02300144650930262,0.013727800834975186,0.08040479773737381,0.07008088309513992,0.002846717217263239,0.013740192567840958,0.00033978846364171854,0.002132504125862564,0.00013078402028174333,0.0008941708165283151,3.3358203724014534e-05,0.00029925010275892527,0.0006594159245264501,0.00368030375626412,0.00012936585186443204,0.0008536321626197276,5.9387714917135216e-05,0.0003898055684906804,1.810505802622286e-05,0.00014578269948609015,0.03938406465318797,0.10416859302881643,0.060100520315959506,0.016687800369705,0.003897176101367546,0.0008037520060020307,0.03144278720061972,0.023749683118473853,0.008327686275776748,0.0023019767935087984,0.0005148353120790891,0.013692058568716347,0.012056203526451696,0.005209468375009846,0.0016654204714856436,0.0004420079430773132
hw_pdf4lhc_unc_8,1.0,0.0024993058943790347,0.08172310390643368,0.04041492322106612,0.2128897188342848,0.010491687156334625,0.11428247570003719,0.0229667588356109,0.01372285478105027,0.08034479340847003,0.06994664721795275,0.0028394442640681393,0.013701905055765788,0.00033879164889033146,0.002125903621369896,0.00013047456513343058,0.0008911108186017971,3.3345961710736024e-05,0.0002982535969322563,0.0006586770272960123,0.003669042240431563,0.0001290258141834829,0.00085033654493177,5.9173922098168076e-05,0.00038828347893471546,1.8071826980461853e-05,0.00014501412355217669,0.039376355481415735,0.1042700134284564,0.06015281356599545,0.016699582395105786,0.003898768997501922,0.0008038700660460658,0.03140427584999744,0.02371903079235592,0.0083158056884812,0.0022984660877224373,0.0005141117841036107,0.013661937815429027,0.012027705810940974,0.005196190300477292,0.0016612707963115036,0.0004406776731591465
hw_pdf4lhc_unc_9,1.0,0.0024968354794830104,0.08165249543066365,0.04036060895920791,0.21268501580965038,0.010484734040664113,0.11417264607652625,0.023014831233853734,0.013731176088478804,0.08043649307260062,0.07013005234007202,0.0028497443633589306,0.013756608188021052,0.0003402552777564162,0.002135422549997658,0.00013101901405975207,0.0008953577754346028,3.345613134827174e-05,0.000299715943931,0.0006596456950254787,0.0036868325728004114,0.00012969775472387673,0.0008556182496097276,5.9535032109139625e-05,0.00039052995854994404,1.818790272214191e-05,0.00014599049493628708,0.03934727079174441,0.1041394367933598,0.060095114743574804,0.01669246031298557,0.003901527421648734,0.0008054171642547643,0.03145466448127095,0.023762009653315017,0.008334988945295548,0.0023052593349301544,0.0005161609197484221,0.013700173298052693,0.012066145917855927,0.005215205926185138,0.0016682626335841604,0.0004433962266087461
hw_pdf4lhc_unc_10,1.0,0.0024930331890171725,0.08150336413754362,0.040393681733752726,0.21278515048455177,0.010486760588480307,0.11417682606699636,0.023021120586515394,0.013737800084928907,0.080463152587991,0.07013234053698683,0.0028475886233963812,0.013743520809428894,0.0003397768162293899,0.002133222294134719,0.0001309430402148078,0.0008947813786936699,3.3415633541497134e-05,0.0002995762627681942,0.0006601552362400027,0.0036794319960625835,0.0001294016550512745,0.000852923371404335,5.9402851695309945e-05,0.00038967309143238667,1.8127650996397564e-05,0.00014558829219738764,0.03927418998838803,0.10421484092103145,0.0600914028190408,0.01668124644345616,0.003898098356940884,0.0008049298273454337,0.03148209836322949,0.02376691165209027,0.0083291902748886,0.0023025061160714872,0.0005152653161831582,0.013708176728834847,0.012063424315233207,0.005209588913247036,0.0016654821890901184,0.0004418887746776621
hw_pdf4lhc_unc_11,1.0,0.0025031645075512276,0.08187291742612969,0.04035244793112976,0.2126495150291588,0.010484807642176451,0.11416493454356841,0.022993743795471453,0.013724745196086944,0.08038690640001807,0.07006399530949557,0.0028464410799703857,0.013741965746605923,0.000339804152113889,0.00213308571004146,0.00013083632294873053,0.0008952237376661738,3.3382123941242475e-05,0.0002998691572239371,0.0006584978389805561,0.0036805144309281427,0.0001293630879214442,0.0008539375002541259,5.933375788996747e-05,0.0003901953820683317,1.8112067584056853e-05,0.00014594268197399608,0.03945359353238261,0.10412246556304254,0.06009920230714982,0.016694057061502912,0.003899084777349571,0.0008029679072774049,0.03142586094562368,0.02374459752103339,0.008328170519432751,0.0023021099103960156,0.0005144697512624386,0.013686742795963753,0.012054610895599897,0.005210667581829898,0.0016660162414403978,0.000441700129814206
hw_pdf4lhc_unc_12,1.0,0.0024934877047909083,0.08162245506666059,0.04036885437206397,0.2127036533043975,0.010485268597250914,0.11416811046481203,0.023017853876289778,0.013731258598797166,0.08043481774842035,0.07014103400921884,0.002850292884935557,0.013757783286043055,0.00034026583061029075,0.002136139163609871,0.0001310717260972237,0.0008956457568280676,3.350173901658535e-05,0.00029987309906173313,0.0006603796328386578,0.00368528270937984,0.00012951069261801548,0.0008551571389905746,5.9514148356310336e-05,0.0003907127877028287,1.8210927088401003e-05,0.00014601870412169905,0.03932884279394157,0.1041562772547665,0.06009508457853424,0.01668645955786937,0.0038971056006503395,0.0008038075812368643,0.03146161098823241,0.023765219096713176,0.008332687455477711,0.002303271178033244,0.0005153261166378193,0.013704484608709093,0.012068218870880741,0.005215114321196156,0.0016677040039715723,0.00044263202314845536
hw_pdf4lhc_unc_13,1.0,0.0024897301010980365,0.08139122774742284,0.04030102803182697,0.21244842507085976,0.010476373975684685,0.11403709484725028,0.023098892355738126,0.013750483289544346,0.08061012669325551,0.07042146213264298,0.002863377912005553,0.01382573224392648,0.0003420373449898144,0.002147645993667751,0.00013189343984243798,0.0009008842025991634,3.369716900793171e-05,0.00030164212770779786,0.0006645921516705664,0.003703726000428987,0.00013028093270181295,0.0008596570710563304,5.989890347195916e-05,0.0003929297007532203,1.8321508690926902e-05,0.0001468503049302835,0.03922240809026404,0.10398921778850564,0.060010733661805885,0.016677390329793707,0.003903141822003219,0.0008076782631177359,0.03156462342367629,0.023838930184860205,0.008359023466066262,0.0023121936302640134,0.0005180089724224802,0.013768371448430683,0.01212171896400133,0.005237835923099159,0.0016757170959296184,0.0004449956829850804
hw_pdf4lhc_unc_14,1.0,0.0024935063791354174,0.0815365439131913,0.040417877177830276,0.2128636209507514,0.010491268362603709,0.11420994937651656,0.02300514673156011,0.013731284175020739,0.08040265856244237,0.07008049987611767,0.0028447635608784853,0.013732243398453133,0.00033914185591966733,0.0021303650967774636,0.00013055076039349662,0.0008934525988044196,3.326399589611939e-05,0.00029910460872662186,0.000657168651681746,0.0036687332848628503,0.00012860451213075167,0.000850584920338313,5.9064000847694245e-05,0.0003882444673457396,1.8027902047861423e-05,0.00014505156566086552,0.039288117179979376,0.1042751612609842,0.06012490383584608,0.01667723825788936,0.0038872065346644783,0.0007979144992180194,0.031463505480084454,0.023751969361653986,0.008318520028594423,0.002295240788645274,0.000511104295488351,0.013697877345572032,0.012055088504240571,0.00520496703319726,0.0016617560835621924,0.00043870882444515467
hw_pdf4lhc_unc_15,1.0,0.0024910056539194448,0.08157986179199807,0.0403988851259525,0.21284089696116604,0.01048990944379484,0.11426476331011705,0.02299396635864754,0.01373051089263695,0.08040378570189059,0.07004302299554302,0.0028435061139569116,0.0137243148505838,0.0003394483042639163,0.0021307914770703337,0.00013083082219948064,0.0008933092067512394,3.344538842897601e-05,0.00029900906058696343,0.0006656957780989748,0.003676374995671027,0.00012920245696473266,0.0008522339197730549,5.946320090926545e-05,0.0003894746130625046,1.8147888196048517e-05,0.000145420354449243,0.03929783439799858,0.10423238420572069,0.06013091191508065,0.016698781550147975,0.003899507448423901,0.0008053305250312983,0.03143982401460081,0.02374833827182515,0.008323607703325752,0.002301778843936174,0.0005148935757334304,0.013684067898506711,0.012045777422066022,0.005203924586406953,0.001664264692686591,0.000441496281876764
hw_pdf4lhc_unc_16,1.0,0.002489835293657599,0.08153339614905604,0.04031216939596697,0.21250641161983766,0.010479520565943996,0.11408855834897504,0.023060128042585448,0.01373535318880668,0.08050238000098903,0.07032232883390685,0.002862389300768763,0.013822025720650638,0.00034191226116614225,0.002146550318673453,0.0001315652628111137,0.0008998011691806947,3.361852053920681e-05,0.00030092205487997097,0.0006641534688846652,0.003708661989114293,0.00013049396471246475,0.0008618177015500164,6.0024113128000186e-05,0.00039360931721495586,1.836485786209823e-05,0.00014715543596273753,0.03928516767845509,0.10402298257667641,0.06005582072509401,0.01668814632668195,0.0039005502545351933,0.0008058335194097578,0.03149088830463359,0.02380615125696729,0.008355446187577147,0.002311727163746775,0.0005179016448690724,0.013736690736296603,0.012108163257261224,0.005238297914837631,0.0016772393609333766,0.0004458461952003978
hw_pdf4lhc_unc_17,1.0,0.0024885618815596432,0.08137844347753294,0.04039653446994797,0.21281641189765363,0.010489258978852256,0.11420655123445302,0.02302835853201658,0.01373741347534303,0.0804599870889292,0.0701660971993793,0.002850463550001913,0.013759511469938214,0.0003403267935600076,0.0021365469446187517,0.00013100877965275103,0.0008955624796296924,3.348000143005345e-05,0.0002996640202984345,0.00065984113604569,0.00368289703154472,0.00012935493173297168,0.0008548821231841548,5.930249496355694e-05,0.00039032764986172763,1.810312280719174e-05,0.000145778581289271,0.03920980738861443,0.10422526133631761,0.06011786762674119,0.016682903062815904,0.0038933091752780054,0.0008025232039693913,0.031482609714991096,0.023775117692546633,0.008330991757244461,0.002300987608577839,0.0005145674749631651,0.013712872390460045,0.01207285768393999,0.005214863893433713,0.0016666680175230755,0.0004421226263567401
hw_pdf4lhc_unc_18,1.0,0.00249804529936757,0.08172888783273458,0.04039156243989076,0.21282568417340994,0.0104904844215883,0.1142651649588711,0.02297608690855597,0.013727249477641172,0.08037914998297382,0.06998220440355253,0.0028411735592881555,0.013709252225430386,0.000338864350998027,0.002127100596561813,0.00013032175835550242,0.0008917587884298748,3.332249546922387e-05,0.0002987057949193157,0.0006590745342582016,0.003672384045830832,0.00012914133513305072,0.000850880861863386,5.923755312356083e-05,0.000388478475257407,1.8021208731072336e-05,0.00014516894596360662,0.03937956586371358,0.10421854214279386,0.060144021718314705,0.016707246773081882,0.003903710573056253,0.0008055011709002599,0.031411551777692004,0.023728559901159716,0.008322039234747537,0.002301404653666974,0.0005148147354242315,0.013668162782391361,0.012033931211864907,0.005199734204230807,0.0016625344258789643,0.00044127240288384856
hw_pdf4lhc_unc_19,1.0,0.0024861912544551306,0.08130649510271358,0.04041010394831517,0.21300057228860877,0.010501422878102648,0.11444663656115296,0.022976214649061,0.013735991334945324,0.08043644509811726,0.06996698382973723,0.0028398928864763412,0.013700337943219785,0.0003386758001297182,0.002124674845929207,0.00013043586018295235,0.0008904711931461418,3.333959613864242e-05,0.0002981616805504001,0.0006602678831888997,0.0036752248922425645,0.00012935270876292393,0.0008515896341533065,5.9266086722118125e-05,0.00038862099797329103,1.813345641906314e-05,0.00014505797926046035,0.03917884782853236,0.10427838617069582,0.0602270658168453,0.01675422814010651,0.003922833604402696,0.0008099497121940014,0.031399582315424994,0.023732854373489924,0.008332657867162486,0.0023077018539631186,0.0005167096991077851,0.013653489828358518,0.012027396582739174,0.005201151616280569,0.0016645500993184477,0.0004420341016732895
hw_pdf4lhc_unc_20,1.0,0.002495294366646622,0.08164475170140889,0.040370807608394954,0.2127111637699609,0.010485805941419112,0.11416033882715428,0.023014519487370627,0.013731656965601564,0.08043303384797924,0.07012997225984147,0.0028489894287866565,0.01375297245841882,0.00034020717516724446,0.002135670853772639,0.00013094275484060487,0.0008957809884436666,3.351867688347528e-05,0.00029962302937699097,0.0006602095491237256,0.0036841337912601234,0.00012967968356331614,0.0008545925513935591,5.955405259816688e-05,0.00039029978278493755,1.8169790341567492e-05,0.00014566749941591752,0.039339453014202774,0.10415634286291155,0.06009298717945799,0.016686465443806586,0.003897803887125691,0.0008050042357812614,0.031461396132363366,0.02376217659948554,0.008331293619766839,0.0023032551116588624,0.0005153437661387322,0.013703511066664287,0.012064561705144517,0.0052133908072807735,0.00166719087321106,0.0004424668530510871
hw_pdf4lhc_unc_21,1.0,0.0024994565861324,0.081728979743639,0.040340130411144634,0.21258874697596025,0.010479644345379025,0.11412501067927647,0.0230233524099558,0.013730432053703983,0.08043867780309616,0.07016804783227196,0.00285272458361696,0.013771730892099094,0.0003406755394216486,0.0021399012614082987,0.0001314123102331482,0.0008976608774614585,3.3784435836808755e-05,0.0003012720842107201,0.0006623929012499968,0.003693841521777986,0.00013008172267822975,0.0008587568068265205,5.9908583837406585e-05,0.0003924876464923209,1.8386529070961063e-05,0.00014686496782415745,0.03938360557522084,0.10408944153745821,0.06006470584250692,0.016685743085906278,0.003900470734267748,0.0008062195310699371,0.03146167305418963,0.023770511181123,0.008338201474483654,0.0023066334473134504,0.00051723483066499,0.01370839209994764,0.01207570089368011,0.005220701335142046,0.0016715090593987013,0.00044489481302158445
hw_pdf4lhc_unc_22,1.0,0.0024936970061653035,0.08157579896630086,0.04037226887025284,0.21273219354779987,0.010486419397651287,0.1141975406019413,0.023014785398502016,0.013732418378548623,0.08043995922285772,0.07012632671820639,0.002849337022087992,0.013752657771429207,0.00034001684023088807,0.002135053896846817,0.00013105349476003853,0.0008951961240305598,3.3495561714714575e-05,0.00029956480715675256,0.0006607486050674919,0.00368476441983479,0.00012964123409127653,0.0008549951691004797,5.9498430851018056e-05,0.0003904605268169732,1.818920534531696e-05,0.0001458719988595917,0.03930953428893331,0.10416795305306262,0.06010574067128417,0.016693305729345773,0.003900543518528704,0.0008052019992864124,0.03145887679599055,0.023763398298824207,0.008333183632899557,0.0023043325293168105,0.0005157888088027961,0.01370084460878116,0.012064596658499157,0.005214041331025995,0.001667792433941365,0.0004429124250273723
hw_pdf4lhc_unc_23,1.0,0.0024856117813298233,0.08137218996708942,0.040378055766078634,0.21277879828696628,0.010488638569590487,0.11422572928247633,0.02302944680413513,0.013738966113997766,0.08048917687189709,0.07017030890724815,0.002851060889891688,0.013760693978720543,0.0003403033878766818,0.002135893834385957,0.0001311110187370833,0.0008951893469044465,3.340513654468372e-05,0.0002993506769597246,0.0006619760830524257,0.0036877668502768276,0.000129810665456596,0.0008547879324040172,5.946015716381745e-05,0.00039012845523701616,1.8111327268061616e-05,0.00014581358911868646,0.03921009590425397,0.10418230028920356,0.060114371465719886,0.016699833677746006,0.0039050954442741534,0.0008074475490726014,0.03148010800371902,0.023777377004460695,0.008338995061010586,0.0023069966024227536,0.0005167947351140551,0.01370975717850204,0.012070977628159646,0.005215953499210244,0.0016688419771619617,0.00044326829916139333
